question_id,exercise_id,question_text,option_a,option_b,option_c,option_d,correct_answer,marks,display_order,image_data,image_mime_type,image_path,image_url
3535,357,Which method can be used to protect underground iron pipes from rusting by using a more reactive metal that is oxidised instead of the iron?,Electroplating,Galvanising,Painting,Cathodic protection using magnesium,D,1,8,,,,/uploads/questions/electrochemistry_exercise_1_question_8.jpg
3536,357,The standard hydrogen electrode has been assigned a half-cell potential of 0.00 V under standard conditions. What are the standard conditions for electrode potential measurements?,"25°C, 1 mol·dm⁻³, 101.3 kPa","0°C, 1 mol·dm⁻³, 100 kPa","25°C, 0.1 mol·dm⁻³, 101.3 kPa","100°C, 1 mol·dm⁻³, 100 kPa",A,1,9,,,,/uploads/questions/electrochemistry_exercise_1_question_9.jpg
3537,357,"In the cell notation Zn(s) / Zn²⁺(aq) // Cu²⁺(aq) / Cu(s), which electrode is the anode?",Cu(s) on the right,Zn(s) on the left,Cu²⁺(aq) on the right,Zn²⁺(aq) on the left,B,1,10,,,,/uploads/questions/electrochemistry_exercise_1_question_10.jpg
3719,376,What is the main use of chlorine gas in the chlor-alkali industry?,Hydrogenation of oils,Disinfection of water,Paper production,Soap production,B,1,2,,,,/uploads/questions/chlor_alkali_exercise_5_question_2.jpg
3538,358,"In a galvanic cell, what is the function of the salt bridge?",To allow electron flow between the half-cells,To allow ion flow to maintain electrical neutrality,To prevent the redox reaction from occurring,To increase the voltage of the cell,B,1,1,,,,/uploads/questions/electrochemistry_exercise_2_question_1.jpg
3539,358,"In the electrolysis of molten sodium chloride (NaCl), what products are formed at the cathode and anode?","Na metal at the cathode, Cl₂ gas at the anode","Cl₂ gas at the cathode, Na metal at the anode","NaOH at the cathode, Cl₂ at the anode","H₂ gas at the cathode, O₂ gas at the anode",A,1,2,,,,/uploads/questions/electrochemistry_exercise_2_question_2.jpg
3540,358,"On the electrochemical series, which metal has the most negative reduction potential?",Cu,Ag,Zn,Li,D,1,3,,,,/uploads/questions/electrochemistry_exercise_2_question_3.jpg
3541,358,"In the electrolysis of water, what is the ratio of the volume of hydrogen gas produced to the volume of oxygen gas produced?",1:1,2:1,1:2,3:1,B,1,4,,,,/uploads/questions/electrochemistry_exercise_2_question_4.jpg
3542,358,"In a galvanic cell, which electrode is the anode?",The electrode where reduction occurs,The electrode where oxidation occurs,The electrode with a positive charge,The electrode with the higher concentration,B,1,5,,,,/uploads/questions/electrochemistry_exercise_2_question_5.jpg
3543,358,"In electroplating, what is the purpose of using a silver anode?",To oxidise the steel spoon,To reduce silver ions to silver metal,To supply silver ions to the solution as the anode dissolves,To increase the voltage of the cell,C,1,6,,,,/uploads/questions/electrochemistry_exercise_2_question_6.jpg
3544,358,What is the order of reducing agent strength based on the electrochemical series?,The more positive E° values are stronger reducing agents,The more negative E° values are stronger reducing agents,All metals are equal,Non-metals are stronger reducing agents than metals,B,1,7,,,,/uploads/questions/electrochemistry_exercise_2_question_7.jpg
3545,358,"In the electrolysis of copper(II) sulphate solution using inert carbon electrodes, what is formed at the cathode?",Hydrogen gas (H₂),Oxygen gas (O₂),Copper metal (Cu),Sulphur dioxide (SO₂),C,1,8,,,,/uploads/questions/electrochemistry_exercise_2_question_8.jpg
3546,358,Why is magnesium used to protect the steel hull of a ship from corrosion?,Magnesium is a stronger oxidising agent,Magnesium is less reactive than steel,Magnesium is more reactive than iron and is oxidised instead,Magnesium forms a protective oxide layer on the steel,C,1,9,,,,/uploads/questions/electrochemistry_exercise_2_question_9.jpg
3547,358,"The standard hydrogen electrode (SHE) is assigned a potential of 0.00 V. If the Cu²⁺/Cu half-cell has an E° = +0.34 V, what is the overall cell potential when the SHE and Cu half-cell are connected?",+0.34 V,-0.34 V,0.00 V,0.68 V,A,1,10,,,,/uploads/questions/electrochemistry_exercise_2_question_10.jpg
3548,359,What is the purpose of the salt bridge in a galvanic cell?,To provide a path for electron flow,To allow ions to flow and balance charge,To increase the voltage of the cell,To act as an electrode,B,1,1,,,,/uploads/questions/electrochemistry_exercise_3_question_1.jpg
3549,359,"In the extraction of aluminium, why does the carbon anode need to be replaced regularly?",It becomes coated with aluminium,It reacts with the oxygen gas produced to form CO₂,It dissolves in the molten cryolite,It is consumed by the Al³⁺ ions,B,1,2,,,,/uploads/questions/electrochemistry_exercise_3_question_2.jpg
3550,359,What is the strongest oxidising agent on the electrochemical series?,Li⁺,F₂,H₂O,Na⁺,B,1,3,,,,/uploads/questions/electrochemistry_exercise_3_question_3.jpg
3551,359,"In the electrorefining of copper, what is the role of the pure copper cathode?",It dissolves into the solution,It provides electrons to the circuit,It receives copper ions and becomes thicker,It prevents impurities from entering the solution,C,1,4,,,,/uploads/questions/electrochemistry_exercise_3_question_4.jpg
3552,359,"In the galvanic cell notation Zn(s) / Zn²⁺(aq) // Cu²⁺(aq) / Cu(s), the double vertical line (//) represents:",The anode,The cathode,The salt bridge,The external circuit,C,1,5,,,,/uploads/questions/electrochemistry_exercise_3_question_5.jpg
3553,359,"In the electrolysis of brine (concentrated NaCl solution), what products are formed at the cathode and anode?","H₂ gas at the cathode, Cl₂ gas at the anode","Cl₂ gas at the cathode, H₂ gas at the anode","Na metal at the cathode, Cl₂ gas at the anode","H₂ gas at the cathode, O₂ gas at the anode",A,1,6,,,,/uploads/questions/electrochemistry_exercise_3_question_6.jpg
3554,359,What is the cell potential (E°cell) for the reaction Zn(s) + Cu²⁺(aq) → Zn²⁺(aq) + Cu(s) using E°(Zn²⁺/Zn) = -0.76 V and E°(Cu²⁺/Cu) = +0.34 V?,-0.42 V,+0.42 V,+1.10 V,-1.10 V,C,1,7,,,,/uploads/questions/electrochemistry_exercise_3_question_7.jpg
3555,359,"In the electrolysis of water, which gas is produced at the cathode and which gas is produced at the anode?","H₂ gas at the cathode, O₂ gas at the anode","O₂ gas at the cathode, H₂ gas at the anode","CO₂ gas at the cathode, H₂ gas at the anode","Cl₂ gas at the cathode, O₂ gas at the anode",A,1,8,,,,/uploads/questions/electrochemistry_exercise_3_question_8.jpg
3556,359,How does galvanising protect iron from rusting?,A layer of paint is applied to the iron,"A layer of zinc is applied, which is more reactive and corrodes instead of iron","A layer of copper is applied, which is less reactive",A layer of oil is applied to prevent water contact,B,1,9,,,,/uploads/questions/electrochemistry_exercise_3_question_9.jpg
3557,359,What is the standard reduction potential of the standard hydrogen electrode (SHE)?,+0.34 V,0.00 V,-0.76 V,+1.10 V,B,1,10,,,,/uploads/questions/electrochemistry_exercise_3_question_10.jpg
3558,360,"In a galvanic cell, the cell potential is positive. What does a positive E°cell indicate?",The reaction is non-spontaneous,The reaction is spontaneous,The reaction has reached equilibrium,The reaction requires an external voltage,B,1,1,,,,/uploads/questions/electrochemistry_exercise_4_question_1.jpg
3559,360,"During the electrolysis of NaCl solution, why is chlorine gas produced at the anode instead of oxygen gas?",Cl⁻ ions are more easily reduced than water,Cl⁻ ions are more easily oxidised than water,Water is more easily oxidised than Cl⁻ ions,Chlorine gas is more soluble in water than oxygen gas,B,1,2,,,,/uploads/questions/electrochemistry_exercise_4_question_2.jpg
3560,360,What is the order of oxidising agent strength based on the electrochemical series?,The more negative E° values are stronger oxidising agents,The more positive E° values are stronger oxidising agents,All metals are equal,Non-metals are weaker oxidising agents than metals,B,1,3,,,,/uploads/questions/electrochemistry_exercise_4_question_3.jpg
3745,378,What is the speed of light in a vacuum?,3 × 10⁷ m·s⁻¹,3 × 10⁸ m·s⁻¹,3 × 10⁹ m·s⁻¹,3 × 10¹⁰ m·s⁻¹,B,1,8,,,,/uploads/questions/doppler_effect_exercise_2_question_8.jpg
3561,360,"In a Zn/Cu galvanic cell, why do Cl⁻ ions move into the salt bridge from the anode side?",To balance the charge as Zn²⁺ ions are produced,To provide electrons to the circuit,To increase the voltage of the cell,To prevent the redox reaction,A,1,4,,,,/uploads/questions/electrochemistry_exercise_4_question_4.jpg
3562,360,"In the electrolysis of molten magnesium chloride (MgCl₂), what is formed at the cathode?",Mg metal,Cl₂ gas,H₂ gas,O₂ gas,A,1,5,,,,/uploads/questions/electrochemistry_exercise_4_question_5.jpg
3563,360,"Using the cell notation Fe(s) / Fe²⁺(aq) // Ag⁺(aq) / Ag(s), which electrode is the anode?",Ag(s),Fe(s),Ag⁺(aq),Fe²⁺(aq),B,1,6,,,,/uploads/questions/electrochemistry_exercise_4_question_6.jpg
3564,360,"If iron (E° = -0.44 V) and zinc (E° = -0.76 V) are connected in an electrolyte, which metal will corrode first?",Iron,Zinc,Both equally,Neither,B,1,7,,,,/uploads/questions/electrochemistry_exercise_4_question_7.jpg
3565,360,"In the electrolysis of CuSO₄ solution with carbon electrodes, what is formed at the anode?",Cu metal,H₂ gas,O₂ gas,SO₂ gas,C,1,8,,,,/uploads/questions/electrochemistry_exercise_4_question_8.jpg
3566,360,Which metal is commonly used as a sacrificial anode to protect steel structures from corrosion?,Copper,Silver,Magnesium,Platinum,C,1,9,,,,/uploads/questions/electrochemistry_exercise_4_question_9.jpg
3567,360,What is the standard electrode potential of the standard hydrogen electrode (SHE)?,+0.34 V,-0.76 V,0.00 V,+1.10 V,C,1,10,,,,/uploads/questions/electrochemistry_exercise_4_question_10.jpg
3568,361,What is the function of the salt bridge in a galvanic cell?,To allow electron flow between the electrodes,To allow ion flow to maintain charge balance,To increase the voltage of the cell,To act as the electrolyte,B,1,1,,,,/uploads/questions/electrochemistry_exercise_5_question_1.jpg
3569,361,"In the electrolysis of molten lead(II) bromide (PbBr₂), what product is formed at the cathode?",Pb metal,Br₂ gas,H₂ gas,O₂ gas,A,1,2,,,,/uploads/questions/electrochemistry_exercise_5_question_2.jpg
3570,361,What is the weakest reducing agent in the electrochemical series?,Na,Mg,Fe,Ag,D,1,3,,,,/uploads/questions/electrochemistry_exercise_5_question_3.jpg
3571,361,"In the electrolysis of an aqueous solution, what determines which ions are reduced at the cathode?",The concentration of ions in solution,The position of the ions on the electrochemical series,The temperature of the solution,The colour of the solution,B,1,4,,,,/uploads/questions/electrochemistry_exercise_5_question_4.jpg
3572,361,"What is the cell potential (E°cell) for the reaction Zn(s) + Cu²⁺(aq) → Zn²⁺(aq) + Cu(s)? E°(Zn²⁺/Zn) = -0.76 V, E°(Cu²⁺/Cu) = +0.34 V.",-0.42 V,+0.42 V,+1.10 V,-1.10 V,C,1,5,,,,/uploads/questions/electrochemistry_exercise_5_question_5.jpg
3573,361,"In the electroplating of a spoon with silver, what is the purpose of the silver anode?",To reduce Ag⁺ ions to Ag metal,To supply Ag⁺ ions to the solution,To act as the cathode,To increase the voltage,B,1,6,,,,/uploads/questions/electrochemistry_exercise_5_question_6.jpg
3574,361,What is the strongest reducing agent on the electrochemical series?,Li,F⁻,Cu,Ag,A,1,7,,,,/uploads/questions/electrochemistry_exercise_5_question_7.jpg
3575,361,What are the products of the electrolysis of brine (concentrated NaCl solution)?,"NaOH, H₂, Cl₂","NaCl, H₂, O₂","NaOH, O₂, Cl₂","NaCl, H₂, Cl₂",A,1,8,,,,/uploads/questions/electrochemistry_exercise_5_question_8.jpg
3576,361,Why are zinc anodes used to protect steel ships from rusting?,Zinc is less reactive than steel,Zinc forms a protective oxide layer on the steel,Zinc is more reactive than steel and corrodes instead of steel,Zinc is a better electrical conductor than steel,C,1,9,,,,/uploads/questions/electrochemistry_exercise_5_question_9.jpg
3577,361,The standard hydrogen electrode (SHE) is used as a reference electrode. What is its standard reduction potential?,0.00 V,+0.34 V,-0.76 V,+1.10 V,A,1,10,,,,/uploads/questions/electrochemistry_exercise_5_question_10.jpg
3578,362,Which statement correctly describes the difference between the two acid solutions shown?,HCl is a concentrated acid while CH3COOH is a dilute acid,HCl is a strong acid while CH3COOH is a weak acid,HCl is a weak acid while CH3COOH is a strong acid,HCl is a dilute acid while CH3COOH is a concentrated acid,B,1,1,,,,/uploads/questions/acids_and_bases_exercise_1_question_1.jpg
3579,362,What is the pH range for a strong acid and a strong base respectively?,pH 1-2 and pH 12-14,pH 3-6 and pH 8-11,pH 7 and pH 7,pH 1-2 and pH 8-11,A,1,2,,,,/uploads/questions/acids_and_bases_exercise_1_question_2.jpg
3580,362,What is the difference between the equivalence point and the endpoint in an acid-base titration?,The equivalence point is where the indicator changes colour; the endpoint is where the acid and base have completely reacted,The equivalence point is where the acid and base have completely reacted; the endpoint is where the indicator changes colour,Both terms mean the same thing,The equivalence point is only for strong acids; the endpoint is only for weak acids,B,1,3,,,,/uploads/questions/acids_and_bases_exercise_1_question_3.jpg
3581,362,Which indicator is most suitable for the titration of a strong acid with a strong base?,Methyl orange only,Phenolphthalein only,Both methyl orange and phenolphthalein,Bromothymol blue only,C,1,4,,,,/uploads/questions/acids_and_bases_exercise_1_question_4.jpg
3582,362,"In the reaction CH3COOH + H2O ⇌ H3O+ + CH3COO-, which is the conjugate acid of H2O?",H3O+,CH3COOH,CH3COO-,OH-,A,1,5,,,,/uploads/questions/acids_and_bases_exercise_1_question_5.jpg
3583,362,Which salt solution would have a pH less than 7 (acidic) when dissolved in water?,NaCl,NH4Cl,CH3COONa,CH3COONH4,B,1,6,,,,/uploads/questions/acids_and_bases_exercise_1_question_6.jpg
3584,362,Calculate the pH of a 0.01 mol·dm⁻³ solution of HCl (a strong acid).,1,2,12,13,B,1,7,,,,/uploads/questions/acids_and_bases_exercise_1_question_7.jpg
3585,362,Calculate the pH of a 0.01 mol·dm⁻³ solution of NaOH (a strong base). (Kw = 1×10⁻¹⁴ at 25°C),2,7,12,14,C,1,8,,,,/uploads/questions/acids_and_bases_exercise_1_question_8.jpg
3586,362,Sulphuric acid (H2SO4) is a polyprotic acid. How many protons can it donate?,1,2,3,4,B,1,9,,,,/uploads/questions/acids_and_bases_exercise_1_question_9.jpg
3587,362,What volume of 2.0 mol·dm⁻³ HCl is needed to prepare 500 cm³ of 0.5 mol·dm⁻³ HCl?,125 cm³,250 cm³,500 cm³,1000 cm³,A,1,10,,,,/uploads/questions/acids_and_bases_exercise_1_question_10.jpg
3588,363,"In a titration, 25.00 cm³ of 0.1 mol·dm⁻³ NaOH is required to neutralise 20.00 cm³ of HCl. What is the concentration of the HCl?",0.08 mol·dm⁻³,0.10 mol·dm⁻³,0.125 mol·dm⁻³,0.20 mol·dm⁻³,C,1,1,,,,/uploads/questions/acids_and_bases_exercise_2_question_1.jpg
3589,363,What is the purpose of a standard solution in acid-base titrations?,To neutralise the acid being titrated,To have a solution of known concentration,To change the colour of the indicator,To act as a catalyst,B,1,2,,,,/uploads/questions/acids_and_bases_exercise_2_question_2.jpg
3590,363,What is the conjugate acid of NH3?,NH4+,NH2-,OH-,H2O,A,1,3,,,,/uploads/questions/acids_and_bases_exercise_2_question_3.jpg
3591,363,Which indicator would be most suitable for the titration of a weak acid (CH3COOH) with a strong base (NaOH)? (End point occurs around pH 8.7),Methyl orange (pH 3.1-4.4),Bromothymol blue (pH 6.0-7.6),Phenolphthalein (pH 8.3-10.0),Litmus (pH 4.5-8.3),C,1,4,,,,/uploads/questions/acids_and_bases_exercise_2_question_4.jpg
3592,363,Write the balanced equation for the neutralisation reaction between HCl and NaOH.,HCl + NaOH → NaCl + H2O,HCl + NaOH → NaCl + H2,HCl + NaOH → NaCl + H2O2,HCl + NaOH → NaCl + OH-,A,1,5,,,,/uploads/questions/acids_and_bases_exercise_2_question_5.jpg
3593,363,"In the reaction H2SO4 + H2O ⇌ HSO4- + H3O+, identify the conjugate acid-base pair that includes H2O.",H2O/H3O+,H2O/HSO4-,H2O/H2SO4,H2O/OH-,A,1,6,,,,/uploads/questions/acids_and_bases_exercise_2_question_6.jpg
3594,363,Calculate the pH of a 0.01 mol·dm⁻³ solution of H2SO4 (a strong diprotic acid).,1.0,1.7,2.0,12.0,B,1,7,,,,/uploads/questions/acids_and_bases_exercise_2_question_7.jpg
3595,363,What is the value of Kw at 25°C?,1 × 10⁻¹⁴,1 × 10⁻⁷,14,7,A,1,8,,,,/uploads/questions/acids_and_bases_exercise_2_question_8.jpg
3596,363,Why is a solution of sodium acetate (CH3COONa) basic?,The Na+ ion hydrolyses to produce H3O+,The CH3COO- ion hydrolyses to produce OH-,The salt is acidic by nature,The salt is neutral by nature,B,1,9,,,,/uploads/questions/acids_and_bases_exercise_2_question_9.jpg
3597,363,What is the pH at the equivalence point for the titration of a weak acid (CH3COOH) with a strong base (NaOH)?,pH 7,pH > 7,pH < 7,pH 0,B,1,10,,,,/uploads/questions/acids_and_bases_exercise_2_question_10.jpg
3598,364,What is the acid ionisation constant expression (Ka) for CH3COOH?,Ka = [H3O+][CH3COO-] / [CH3COOH],Ka = [CH3COOH] / [H3O+][CH3COO-],Ka = [H3O+][CH3COO-] / [CH3COOH][H2O],Ka = [H3O+][CH3COO-][H2O] / [CH3COOH],A,1,1,,,,/uploads/questions/acids_and_bases_exercise_3_question_1.jpg
3599,364,"25.0 cm³ of 0.1 mol·dm⁻³ HCl is titrated with NaOH. If 20.0 cm³ of NaOH is required to reach the endpoint, what is the concentration of NaOH?",0.08 mol·dm⁻³,0.10 mol·dm⁻³,0.125 mol·dm⁻³,0.20 mol·dm⁻³,C,1,2,,,,/uploads/questions/acids_and_bases_exercise_3_question_2.jpg
3600,364,What is an amphiprotic substance?,A substance that can act only as an acid,A substance that can act only as a base,A substance that can act as either an acid or a base,A substance that is neutral,C,1,3,,,,/uploads/questions/acids_and_bases_exercise_3_question_3.jpg
3601,364,"What is the pH of a solution of ammonium chloride (NH4Cl) in water? (HCl is a strong acid, NH3 is a weak base)",pH 7,pH < 7,pH > 7,pH 0,B,1,4,,,,/uploads/questions/acids_and_bases_exercise_3_question_4.jpg
3602,364,What colour would universal indicator turn in a solution of pH 5?,Red,Yellow,Green,Blue,B,1,5,,,,/uploads/questions/acids_and_bases_exercise_3_question_5.jpg
3603,364,Which of the following is a strong acid?,CH3COOH,H2CO3,HCl,H3PO4,C,1,6,,,,/uploads/questions/acids_and_bases_exercise_3_question_6.jpg
3604,364,What is the difference between a concentrated acid and a dilute acid?,A concentrated acid is always a strong acid; a dilute acid is always a weak acid,A concentrated acid has a high pH; a dilute acid has a low pH,A concentrated acid has a large number of moles of acid per unit volume; a dilute acid has a small number of moles of acid per unit volume,A concentrated acid ionises completely; a dilute acid ionises incompletely,C,1,7,,,,/uploads/questions/acids_and_bases_exercise_3_question_7.jpg
3605,364,"Magnesium hydroxide, Mg(OH)2, is a strong base. How many hydroxide ions are produced per formula unit when it dissolves in water?",1,2,3,4,B,1,8,,,,/uploads/questions/acids_and_bases_exercise_3_question_8.jpg
3606,364,The pH of a 0.1 mol·dm⁻³ solution of CH3COOH is approximately 2.87. What does this indicate about the acid?,It is a strong acid because the pH is low,It is a weak acid because the pH is higher than expected for a strong acid of the same concentration,It is a concentrated acid,It is a dilute acid,B,1,9,,,,/uploads/questions/acids_and_bases_exercise_3_question_9.jpg
3607,364,What is the relationship between Ka and Kb for a conjugate acid-base pair?,Ka × Kb = Kw,Ka + Kb = Kw,Ka / Kb = Kw,Ka - Kb = Kw,A,1,10,,,,/uploads/questions/acids_and_bases_exercise_3_question_10.jpg
3608,365,What is the pH at the equivalence point for the titration of a strong acid with a strong base?,pH 7,pH > 7,pH < 7,pH 0,A,1,1,,,,/uploads/questions/acids_and_bases_exercise_4_question_1.jpg
3609,365,What is the correct way to read the volume from a burette?,Read from the top of the meniscus,Read from the bottom of the meniscus,Read from the middle of the meniscus,Read from the nearest whole number,B,1,2,,,,/uploads/questions/acids_and_bases_exercise_4_question_2.jpg
3610,365,"Why should concentrated sulphuric acid be added to water, not water to concentrated sulphuric acid?",To prevent the acid from boiling,To prevent the acid from freezing,To prevent the acid from splattering due to the exothermic reaction,To prevent the acid from dissolving the glass beaker,C,1,3,,,,/uploads/questions/acids_and_bases_exercise_4_question_3.jpg
3611,365,Oxalic acid ((COOH)2) is a diprotic acid. How many ionisation steps does it undergo?,1,2,3,4,B,1,4,,,,/uploads/questions/acids_and_bases_exercise_4_question_4.jpg
3612,365,Sodium carbonate (Na2CO3) is a weak base. Which ion is responsible for the basic nature of the solution?,Na+,CO3²⁻,H2O,HCO3-,B,1,5,,,,/uploads/questions/acids_and_bases_exercise_4_question_5.jpg
3613,365,What is the pH of a neutral solution at 25°C?,0,7,14,10⁻⁷,B,1,6,,,,/uploads/questions/acids_and_bases_exercise_4_question_6.jpg
3614,365,"According to the Arrhenius theory, an acid is a substance that:",Produces hydroxide ions (OH-) in water,Produces hydrogen ions (H+) in water,Accepts protons (H+),Donates protons (H+),B,1,7,,,,/uploads/questions/acids_and_bases_exercise_4_question_7.jpg
3615,365,Which of the following is a strong acid commonly used to produce fertilisers and explosives?,HNO3,CH3COOH,H2CO3,H3PO4,A,1,8,,,,/uploads/questions/acids_and_bases_exercise_4_question_8.jpg
3616,365,Which of the following is a weak base?,NaOH,KOH,NH3,Ca(OH)2,C,1,9,,,,/uploads/questions/acids_and_bases_exercise_4_question_9.jpg
3617,365,"In the titration of H2SO4 with NaOH, what is the mole ratio of NaOH to H2SO4?",1:1,2:1,1:2,3:1,B,1,10,,,,/uploads/questions/acids_and_bases_exercise_4_question_10.jpg
3620,366,"According to the Brønsted-Lowry theory, a base is a substance that:",Produces hydroxide ions (OH-) in water,Produces hydrogen ions (H+) in water,Accepts protons (H+),Donates protons (H+),C,1,3,,,,/uploads/questions/acids_and_bases_exercise_5_question_3.jpg
3621,366,"In an acidic solution, how does the equilibrium of an indicator (HIn ⇌ H+ + In-) shift, and what colour change occurs?","Shifts to the right, producing more In- (colour 2)","Shifts to the left, producing more HIn (colour 1)",No shift occurs,The indicator decomposes,B,1,4,,,,/uploads/questions/acids_and_bases_exercise_5_question_4.jpg
3622,366,What is the function of the white tile in a titration?,To heat the solution,To cool the solution,To provide a white background to see the colour change clearly,To stir the solution,C,1,5,,,,/uploads/questions/acids_and_bases_exercise_5_question_5.jpg
3623,366,Which of the following is a weak acid?,HCl,H2SO4,CH3COOH,HNO3,C,1,6,,,,/uploads/questions/acids_and_bases_exercise_5_question_6.jpg
3624,366,Calculate the pH of a 0.01 mol·dm⁻³ solution of KOH (a strong base).,2,7,12,14,C,1,7,,,,/uploads/questions/acids_and_bases_exercise_5_question_7.jpg
3625,366,Carbonic acid (H2CO3) is a diprotic acid. Which of the following is the correct order of ionisation?,H2CO3 → H+ + CO3²⁻ only,H2CO3 → H+ + HCO3- and HCO3- → H+ + CO3²⁻,H2CO3 → 2H+ + CO3²⁻ only,H2CO3 → H+ + HCO3- only,B,1,8,,,,/uploads/questions/acids_and_bases_exercise_5_question_8.jpg
3626,366,"For the titration of a strong acid (HCl) with a weak base (NH3), the equivalence point occurs at approximately pH 5.3. What type of salt is formed?",Neutral salt,Acidic salt,Basic salt,Insoluble salt,B,1,9,,,,/uploads/questions/acids_and_bases_exercise_5_question_9.jpg
3627,366,What is the relationship between the strength of an acid and the strength of its conjugate base?,They are directly proportional,They are inversely proportional,They are equal,There is no relationship,B,1,10,,,,/uploads/questions/acids_and_bases_exercise_5_question_10.jpg
3628,367,A chemical system is in dynamic equilibrium when:,The forward and reverse reactions occur at the same time and at the same rate,The forward reaction has stopped,The reverse reaction has stopped,All reactants have been converted to products,A,1,1,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_1.jpg
3629,367,"For the reaction N₂(g) + 3H₂(g) ⇌ 2NH₃(g), ΔH < 0 (exothermic). According to Le Châtelier's Principle, what happens when the temperature is increased?",Forward reaction is favoured,Reverse reaction is favoured,No change occurs,Both reactions stop,B,1,2,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_2.jpg
3630,367,"In the Kc expression for the reaction 2SO₂(g) + O₂(g) ⇌ 2SO₃(g), what is the correct numerator?",[SO₂]²[O₂],[SO₂]²,[SO₃]²,[SO₂]²[O₂] / [SO₃]²,C,1,3,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_3.jpg
3631,367,"A closed system at equilibrium has the following concentrations: [H₂] = 0.5 mol·dm⁻³, [I₂] = 0.5 mol·dm⁻³, and [HI] = 1.0 mol·dm⁻³ for the reaction H₂(g) + I₂(g) ⇌ 2HI(g). The student adds more H₂ to the system. What happens immediately after the addition?",The reverse reaction rate increases,Both reaction rates remain equal,The system is no longer closed,The forward reaction rate increases,D,1,4,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_4.jpg
3632,367,The Kc value for a reaction is 0.05 at 25°C. What does this indicate about the equilibrium?,Reactants are favoured over products,Products are favoured over reactants,The reaction is exothermic,The reaction is endothermic,A,1,5,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_5.jpg
3633,367,"For the reaction N₂(g) + 3H₂(g) ⇌ 2NH₃(g), there are 4 moles of gas on the left and 2 moles of gas on the right. According to Le Châtelier's Principle, increasing the pressure will:",Favour the reverse reaction,Favour the forward reaction,Have no effect on equilibrium,Stop both reactions,B,1,6,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_6.jpg
